time,ws_bytes,priv_bytes
2026-09-21T23:52:56,371908608,384430080
2026-09-21T23:53:26,373174272,385769472
2026-09-21T23:53:56,374751232,387244032
2026-09-21T23:54:26,375554048,388067328
2026-09-21T23:54:56,376958976,389517312
2026-09-21T23:55:26,377344000,389890048
2026-09-21T23:55:56,379142144,391626752
2026-09-21T23:56:26,379928576,392343552
2026-09-21T23:56:56,381304832,393695232
2026-09-21T23:57:26,382042112,394371072
2026-09-21T23:57:56,383184896,395579392
2026-09-21T23:58:26,384184320,396500992
2026-09-21T23:58:56,385015808,397402112
2026-09-21T23:59:26,386199552,398594048
2026-09-21T23:59:56,388419584,400801792
2026-09-22T00:00:27,390836224,403279872
2026-09-22T00:00:57,391671808,404021248
2026-09-22T00:01:27,392318976,404688896
2026-09-22T00:01:57,393359360,405729280
2026-09-22T00:02:27,394158080,406552576
2026-09-22T00:02:57,395231232,407654400
2026-09-22T00:03:27,396328960,408752128
