time,ws_bytes,priv_bytes
2026-09-21T23:56:04,196698112,235589632
2026-09-21T23:56:34,196677632,235536384
2026-09-21T23:57:05,196870144,235753472
2026-09-21T23:57:35,196878336,235704320
2026-09-21T23:58:05,196878336,235704320
2026-09-21T23:58:35,196882432,235704320
2026-09-21T23:59:05,196882432,235704320
2026-09-21T23:59:35,196882432,235704320
2026-09-22T00:00:05,196870144,235704320
2026-09-22T00:00:35,197095424,235737088
2026-09-22T00:01:05,197095424,235737088
2026-09-22T00:01:35,197500928,236081152
2026-09-22T00:02:05,197480448,236048384
2026-09-22T00:02:35,197480448,236048384
2026-09-22T00:03:05,197468160,235982848
2026-09-22T00:03:35,201347072,236703744
2026-09-22T00:04:05,201494528,236785664
2026-09-22T00:04:35,201494528,236695552
2026-09-22T00:05:05,223076352,264368128
2026-09-22T00:05:35,222973952,264404992
