time,ws_bytes,priv_bytes
2026-09-22T00:21:07,371081216,391348224
2026-09-22T00:21:37,371216384,391622656
2026-09-22T00:22:07,371384320,391692288
2026-09-22T00:22:37,371372032,391659520
2026-09-22T00:23:07,371372032,391659520
2026-09-22T00:23:37,371372032,391659520
2026-09-22T00:24:07,371343360,391589888
2026-09-22T00:24:37,371666944,391905280
2026-09-22T00:25:07,373215232,393453568
2026-09-22T00:25:37,374030336,394248192
2026-09-22T00:26:07,374464512,394698752
2026-09-22T00:26:37,374480896,394698752
2026-09-22T00:27:07,374460416,394661888
2026-09-22T00:27:37,374460416,394661888
2026-09-22T00:28:07,374464512,394665984
2026-09-22T00:28:37,374464512,394665984
2026-09-22T00:29:07,374464512,394665984
2026-09-22T00:29:37,374464512,394665984
2026-09-22T00:30:08,375164928,394727424
2026-09-22T00:30:38,375169024,394727424
2026-09-22T00:31:08,378773504,395264000
